"Frees an dbus_error_free_APIParam_1 that been set , reinitializes the dbus_error_free_APIParam_1 as in dbus_error_init_APIName",null,"Frees an dbus_error_free_APIParam_1 that been set (or just initialized), then reinitializes the dbus_error_free_APIParam_1 as in dbus_error_init_APIName .","Frees an dbus_error_free_APIParam_1 that been set (or just initialized), then reinitializes the dbus_error_free_APIParam_1 as in dbus_error_init_APIName . dbus_error_free_APIParam_1 is memory where the dbus_error_free_APIParam_1 is stored"
dbus_error_free_APIParam_1 is memory where the dbus_error_free_APIParam_1 is stored,null,dbus_error_free_APIParam_1 is memory where the dbus_error_free_APIParam_1 is stored,"Frees an dbus_error_free_APIParam_1 that been set (or just initialized), then reinitializes the dbus_error_free_APIParam_1 as in dbus_error_init_APIName . dbus_error_free_APIParam_1 is memory where the dbus_error_free_APIParam_1 is stored"
"that is , you recurse into the array , and you call dbus_message_iter_get_fixed_array_APIName on the `` sub-iterator '' created by dbus_message_iter_recurse_APIName",null,"that is, you recurse into the array, and then you call dbus_message_iter_get_fixed_array_APIName on the ""sub-iterator"" created by dbus_message_iter_recurse_APIName","Reads a block of fixed-length values from the message iterator. Fixed-length values are those basic types that are not string-like, such as integers, bool, double. dbus_message_iter_get_fixed_array_APIParam_0 will be from the current position in the array until the end of the array. There is one exception here: although DBUS_TYPE_UNIX_FD is considered a 'fixed' type arrays of this type may not be read with this function. The message dbus_message_iter_get_fixed_array_APIParam_1 should be ""in"" the array (that is, you recurse into the array, and then you call dbus_message_iter_get_fixed_array_APIName on the ""sub-iterator"" created by dbus_message_iter_recurse_APIName ). The dbus_message_iter_get_fixed_array_APIParam_2 argument should be the address of a location to store dbus_message_iter_get_fixed_array_APIParam_0. So for int32 it should be a ""const dbus_int32_t**"" dbus_message_iter_get_fixed_array_APIParam_0 dbus_message_iter_get_fixed_array_APIParam_2 is by reference and should not be freed. dbus_message_iter_get_fixed_array_APIName should only be used if dbus_type_is_fixed_APIName returns TRUE for the element type. If an array elements are not fixed in size, you have to recurse into the array with dbus_message_iter_recurse_APIName and read the elements one by one. Because the array is not copied, dbus_message_iter_get_fixed_array_APIName runs in constant time and is fast; it is much preferred over walking the entire array with an iterator. (However, you can always use dbus_message_iter_recurse_APIName , even for fixed-length types; dbus_message_iter_get_fixed_array_APIName is just an optimization.) dbus_message_iter_get_fixed_array_APIParam_1 is the iterator. dbus_message_iter_get_fixed_array_APIParam_2 is location to store the block. dbus_message_iter_get_fixed_array_APIParam_3 is number of elements in the block"
Checks whether the dbus_error_has_name_APIParam_1 is set and has the given dbus_error_has_name_APIParam_2,null,Checks whether the dbus_error_has_name_APIParam_1 is set and has the given dbus_error_has_name_APIParam_2.,Checks whether the dbus_error_has_name_APIParam_1 is set and has the given dbus_error_has_name_APIParam_2. dbus_error_has_name_APIParam_1 is the dbus_error_has_name_APIParam_1. dbus_error_has_name_APIParam_2 is the dbus_error_has_name_APIParam_2. dbus_error_has_name_APIName return TRUE if the given named dbus_error_has_name_APIParam_1 occurred
dbus_error_has_name_APIParam_1 is the dbus_error_has_name_APIParam_1,null,dbus_error_has_name_APIParam_1 is the dbus_error_has_name_APIParam_1.,Checks whether the dbus_error_has_name_APIParam_1 is set and has the given dbus_error_has_name_APIParam_2. dbus_error_has_name_APIParam_1 is the dbus_error_has_name_APIParam_1. dbus_error_has_name_APIParam_2 is the dbus_error_has_name_APIParam_2. dbus_error_has_name_APIName return TRUE if the given named dbus_error_has_name_APIParam_1 occurred
dbus_error_has_name_APIParam_2 is the dbus_error_has_name_APIParam_2,null,dbus_error_has_name_APIParam_2 is the dbus_error_has_name_APIParam_2.,Checks whether the dbus_error_has_name_APIParam_1 is set and has the given dbus_error_has_name_APIParam_2. dbus_error_has_name_APIParam_1 is the dbus_error_has_name_APIParam_1. dbus_error_has_name_APIParam_2 is the dbus_error_has_name_APIParam_2. dbus_error_has_name_APIName return TRUE if the given named dbus_error_has_name_APIParam_1 occurred
dbus_error_has_name_APIName return TRUE if the given named dbus_error_has_name_APIParam_1 occurred,null,dbus_error_has_name_APIName return TRUE if the given named dbus_error_has_name_APIParam_1 occurred,Checks whether the dbus_error_has_name_APIParam_1 is set and has the given dbus_error_has_name_APIParam_2. dbus_error_has_name_APIParam_1 is the dbus_error_has_name_APIParam_1. dbus_error_has_name_APIParam_2 is the dbus_error_has_name_APIParam_2. dbus_error_has_name_APIName return TRUE if the given named dbus_error_has_name_APIParam_1 occurred
Initializes a DBusError structure,null,Initializes a DBusError structure.,Initializes a DBusError structure. Does not allocate any memory; the dbus_error_init_APIParam_1 only needs to be freed if it is set at some point. dbus_error_init_APIParam_1 is the DBusError
dbus_error_init_APIParam_1 is the DBusError,null,dbus_error_init_APIParam_1 is the DBusError,Initializes a DBusError structure. Does not allocate any memory; the dbus_error_init_APIParam_1 only needs to be freed if it is set at some point. dbus_error_init_APIParam_1 is the DBusError
Does not allocate any memory,null,Does not allocate any memory; the dbus_error_init_APIParam_1 only needs to be freed if it is set at some point.,Initializes a DBusError structure. Does not allocate any memory; the dbus_error_init_APIParam_1 only needs to be freed if it is set at some point. dbus_error_init_APIParam_1 is the DBusError
